,Global CMP22 (vent/cor) [W/m^2]
2022-01-20 00:00:00-07:00,-1.38119
2022-01-20 00:01:00-07:00,-1.35836
2022-01-20 00:02:00-07:00,-1.38109
2022-01-20 00:03:00-07:00,-1.40935
2022-01-20 00:04:00-07:00,-1.41283
2022-01-20 00:05:00-07:00,-1.42869
2022-01-20 00:06:00-07:00,-1.42501
2022-01-20 00:07:00-07:00,-1.45201
2022-01-20 00:08:00-07:00,-1.44417
2022-01-20 00:09:00-07:00,-1.43643
2022-01-20 00:10:00-07:00,-1.41288
2022-01-20 00:11:00-07:00,-1.40525
2022-01-20 00:12:00-07:00,-1.38872
2022-01-20 00:13:00-07:00,-1.38499
2022-01-20 00:14:00-07:00,-1.42522
2022-01-20 00:15:00-07:00,-1.41739
2022-01-20 00:16:00-07:00,-1.40129
2022-01-20 00:17:00-07:00,-1.3981
2022-01-20 00:18:00-07:00,-1.35802
2022-01-20 00:19:00-07:00,-1.36616
2022-01-20 00:20:00-07:00,-1.34602
2022-01-20 00:21:00-07:00,-1.33799
2022-01-20 00:22:00-07:00,-1.36619
2022-01-20 00:23:00-07:00,-1.32598
2022-01-20 00:24:00-07:00,-1.32649
2022-01-20 00:25:00-07:00,-1.34996
2022-01-20 00:26:00-07:00,-1.36187
2022-01-20 00:27:00-07:00,-1.36216
2022-01-20 00:28:00-07:00,-1.36153
2022-01-20 00:29:00-07:00,-1.34581
2022-01-20 00:30:00-07:00,-1.36118
2022-01-20 00:31:00-07:00,-1.36517
2022-01-20 00:32:00-07:00,-1.32967
2022-01-20 00:33:00-07:00,-1.34116
2022-01-20 00:34:00-07:00,-1.32889
2022-01-20 00:35:00-07:00,-1.34891
2022-01-20 00:36:00-07:00,-1.34494
2022-01-20 00:37:00-07:00,-1.34069
2022-01-20 00:38:00-07:00,-1.34478
2022-01-20 00:39:00-07:00,-1.38016
2022-01-20 00:40:00-07:00,-1.39207
2022-01-20 00:41:00-07:00,-1.38413
2022-01-20 00:42:00-07:00,-1.40022
2022-01-20 00:43:00-07:00,-1.38819
2022-01-20 00:44:00-07:00,-1.3727
2022-01-20 00:45:00-07:00,-1.3922
2022-01-20 00:46:00-07:00,-1.37624
2022-01-20 00:47:00-07:00,-1.37624
2022-01-20 00:48:00-07:00,-1.39192
2022-01-20 00:49:00-07:00,-1.43866
2022-01-20 00:50:00-07:00,-1.47346
2022-01-20 00:51:00-07:00,-1.49241
2022-01-20 00:52:00-07:00,-1.51548
2022-01-20 00:53:00-07:00,-1.55481
2022-01-20 00:54:00-07:00,-1.5901
2022-01-20 00:55:00-07:00,-1.61436
2022-01-20 00:56:00-07:00,-1.61863
2022-01-20 00:57:00-07:00,-1.61427
2022-01-20 00:58:00-07:00,-1.60963
2022-01-20 00:59:00-07:00,-1.63289
2022-01-20 01:00:00-07:00,-1.65678
2022-01-20 01:01:00-07:00,-1.68854
2022-01-20 01:02:00-07:00,-1.68863
2022-01-20 01:03:00-07:00,-1.71464
2022-01-20 01:04:00-07:00,-1.75729
2022-01-20 01:05:00-07:00,-1.82854
2022-01-20 01:06:00-07:00,-1.91166
2022-01-20 01:07:00-07:00,-1.93145
2022-01-20 01:08:00-07:00,-1.97498
2022-01-20 01:09:00-07:00,-1.98686
2022-01-20 01:10:00-07:00,-1.98549
2022-01-20 01:11:00-07:00,-1.95395
2022-01-20 01:12:00-07:00,-1.90309
2022-01-20 01:13:00-07:00,-1.81609
2022-01-20 01:14:00-07:00,-1.75211
2022-01-20 01:15:00-07:00,-1.72354
2022-01-20 01:16:00-07:00,-1.71473
2022-01-20 01:17:00-07:00,-1.71876
2022-01-20 01:18:00-07:00,-1.73089
2022-01-20 01:19:00-07:00,-1.75515
2022-01-20 01:20:00-07:00,-1.77948
2022-01-20 01:21:00-07:00,-1.76397
2022-01-20 01:22:00-07:00,-1.75225
2022-01-20 01:23:00-07:00,-1.72841
2022-01-20 01:24:00-07:00,-1.68445
2022-01-20 01:25:00-07:00,-1.66451
2022-01-20 01:26:00-07:00,-1.65257
2022-01-20 01:27:00-07:00,-1.65269
2022-01-20 01:28:00-07:00,-1.66057
2022-01-20 01:29:00-07:00,-1.67582
2022-01-20 01:30:00-07:00,-1.68683
2022-01-20 01:31:00-07:00,-1.74178
2022-01-20 01:32:00-07:00,-1.77714
2022-01-20 01:33:00-07:00,-1.80493
2022-01-20 01:34:00-07:00,-1.81298
2022-01-20 01:35:00-07:00,-1.81687
2022-01-20 01:36:00-07:00,-1.78507
2022-01-20 01:37:00-07:00,-1.80109
2022-01-20 01:38:00-07:00,-1.82906
2022-01-20 01:39:00-07:00,-1.83737
2022-01-20 01:40:00-07:00,-1.82971
2022-01-20 01:41:00-07:00,-1.7706
2022-01-20 01:42:00-07:00,-1.74704
2022-01-20 01:43:00-07:00,-1.7275
2022-01-20 01:44:00-07:00,-1.69604
2022-01-20 01:45:00-07:00,-1.67209
2022-01-20 01:46:00-07:00,-1.64423
2022-01-20 01:47:00-07:00,-1.65197
2022-01-20 01:48:00-07:00,-1.64387
2022-01-20 01:49:00-07:00,-1.64354
2022-01-20 01:50:00-07:00,-1.67507
2022-01-20 01:51:00-07:00,-1.71097
2022-01-20 01:52:00-07:00,-1.72696
2022-01-20 01:53:00-07:00,-1.72643
2022-01-20 01:54:00-07:00,-1.71786
2022-01-20 01:55:00-07:00,-1.69794
2022-01-20 01:56:00-07:00,-1.72176
2022-01-20 01:57:00-07:00,-1.70995
2022-01-20 01:58:00-07:00,-1.73374
