,ac_meter_1_power_kw__1041,ac_meter_2_power_kw__1042,ac_power__1137,ac_power_metered_kw__1040,ambient_temp__1053,inv1_ac_power_kw__1043,inv1_dc_current__1045,inv1_dc_power__1134,inv1_dc_voltage__1044,inv1_temp__1046,inv2_ac_power_kw__1047,inv2_dc_current__1049,inv2_dc_power__1135,inv2_dc_voltage__1048,inv2_temp__1050,module_temp__1056,poa_irradiance__1055,poa_irradiance_refcell__1054,refcell_temp__1052,wind_speed__1051
2022-01-01 00:00:15,0.0,0.0,0.0,0.0,-8.708667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.600098,23.1001,-2.498759,0.0,-1.139323,-8.964477999999998,3.465601
2022-01-01 00:05:15,0.0,0.0,0.0,0.0,-8.710184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.600098,23.0,-2.501019,0.0,-1.139323,-8.990926,3.40925
2022-01-01 00:10:15,0.0,0.0,0.0,0.0,-8.681271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.600098,23.0,-2.478753,0.0,-1.108984,-9.055013,3.454601
2022-01-01 00:15:15,0.0,0.0,0.0,0.0,-8.726211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.600098,23.0,-2.494803,0.0,-0.9969075,-9.066203,3.465001
2022-01-01 00:20:15,0.0,0.0,0.0,0.0,-8.781765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.600098,22.90015,-2.507462,0.0,-1.220703,-9.096721,3.518102
2022-01-01 00:25:15,0.0,0.0,0.0,0.0,-8.833417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.600098,22.90015,-2.50667,0.0,-1.068359,-9.082479,3.4127
2022-01-01 00:30:15,0.0,0.0,0.0,0.0,-8.799524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.600098,22.80005,-2.508027,0.0,-1.403874,-9.158772,3.455951
2022-01-01 00:35:15,0.0,0.0,0.0,0.0,-8.795840999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.600098,22.80005,-2.512548,0.0,-1.749674,-9.150635,3.42285
2022-01-01 00:40:15,0.0,0.0,0.0,0.0,-8.809919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.600098,22.7468,-2.510626,0.0,-1.108984,-9.135376,3.650854
2022-01-01 00:45:15,0.0,0.0,0.0,0.0,-8.79714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.600098,22.7002,-2.543065,0.0,-1.444499,-9.112996,3.4216
2022-01-01 00:50:15,0.0,0.0,0.0,0.0,-8.813601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.600098,22.7002,-2.534927,0.0,-1.027604,-9.139445,3.444951
2022-01-01 00:55:15,0.0,0.0,0.0,0.0,-8.856375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.600098,22.65348,-2.532893,0.0,-1.403874,-9.135376,3.450351
2022-01-01 01:00:15,0.0,0.0,0.0,0.0,-8.876193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.600098,22.6001,-2.528146,0.0,-0.9562826,-9.121135,3.462101
2022-01-01 01:05:15,0.0,0.0,0.0,0.0,-8.900019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.600098,22.6001,-2.531198,0.0,-0.9562826,-9.186238,3.4277
