,Ambient Temperature,Barometric Pressure,Diffuse Horizontal,Direct Normal,Global Horizontal,Global Normal,Plane of array,Relative Humidity,UV-A,UV-B,Wind Direction,Wind Speed
1/1/2022 0:05,-10.59725,809.178,0,0.7041478,-0.6684214,-0.6491088,-0.3634659,97.43063,0.003702568,0.001645227,21.32771,1.930175
1/1/2022 0:10,-10.63128,809.3414,0.3794225,0.7041747,-0.668447,-0.6491337,-0.3634798,97.32853,0.003702568,0.001645227,11.43491,2.167881
1/1/2022 0:15,-10.66532,809.0146,0.3794435,0.7042136,-0.6684839,-0.6491696,-0.3634999,97.34555,0.003702568,0.001645227,0.316998,0.8272177
1/1/2022 0:20,-10.71636,809.2189,0.3794619,0.704248,-0.6685165,-0.6492012,-0.3635176,97.34555,0,0.001645227,330.9141,0.608528
1/1/2022 0:25,-10.66532,808.7697,0.3794707,1.408528,-0.6685319,0,-0.363526,97.37958,0.003702568,0.001645227,17.10107,1.036399
1/1/2022 0:30,-10.81846,808.7288,0,0.704294,-0.6685601,-0.6492436,-0.3635414,97.26047,0.003702568,0.001645227,14.22205,1.150498
1/1/2022 0:35,-10.78443,809.3414,0.3794955,0.7043101,-0.6685755,0,-0.3635497,97.24345,0.007405136,0.001645227,349.0764,1.958699
1/1/2022 0:40,-10.8695,809.3414,0.379502,1.408645,-0.668587,-0.6492697,-0.3635559,97.20943,0.003702568,0.001645227,356.1515,0.9413167
1/1/2022 0:45,-10.88652,809.1372,0.3795054,0.7043286,-0.668593,-0.6492755,-0.3635592,97.15838,0.007405136,0.001645227,351.9248,1.511812
1/1/2022 0:50,-10.85249,808.7288,0.3795113,0.7043395,-0.6686034,0,-0.3635649,97.22644,0,0.001645227,327.9126,0.04754125
1/1/2022 0:55,-10.90353,808.8513,0.3795148,0.7043461,-0.6686096,0,-0.3635682,97.22644,0.003702568,0.001645227,55.01836,3.071165
1/1/2022 1:00,-10.9716,809.178,0.379519,0.7043537,-0.6686169,0,-0.3635722,97.0733,0,0.001645227,354.7426,0.5895115
1/1/2022 1:05,-11.00563,809.0146,0.3795218,0.704359,-0.6686219,-0.6493036,-0.3635749,97.02225,0.003702568,0.001645227,330.761,0.8557425
1/1/2022 1:10,-11.05667,809.2189,0.3795231,0.7043614,-0.6686241,-0.6493057,-0.3635761,96.95419,0.003702568,0.001645227,50.79171,3.033132
1/1/2022 1:15,-11.20981,809.1372,0.3795244,-0.3521819,0.6686264,-0.6493079,-0.3635774,96.47776,0,0.001645227,84.6355,2.386571
1/1/2022 1:20,-11.61818,808.8105,0.3795251,-0.3521826,0.6686277,-0.6493093,-0.3635781,95.71206,0.003702568,0.001645227,90.36291,4.402319
1/1/2022 1:25,-12.00954,809.0964,0.3795255,0,0,-0.6493099,-0.3635784,95.40578,0.007405136,0.001645227,72.01682,2.900016
1/1/2022 1:30,-12.24776,809.178,0,0.3521832,-0.668629,-0.6493104,-0.3635788,95.32071,0.007405136,0.001645227,39.64317,1.616402
1/1/2022 1:35,-12.4009,809.6273,0.379526,0.3521834,-0.6686292,-0.6493107,-0.3635789,95.43981,0.003702568,0.001645227,73.21131,1.8446
1/1/2022 1:40,-12.55404,809.7498,0.379526,0.7043669,-0.6686293,-0.6493108,-0.363579,95.45683,0,0.001645227,63.56353,1.502303
1/1/2022 1:45,-12.6221,809.7906,0.379526,0.7043669,-0.6686293,-0.6493108,-0.363579,95.52489,0.003702568,0.001645227,74.86521,2.053782
