measured_on,ac_power
2016-08-10 00:00:00-07:00,-2.6781
2016-08-10 00:15:00-07:00,-2.7232
2016-08-10 00:30:00-07:00,-2.8583
2016-08-10 00:45:00-07:00,-3.0161
2016-08-10 01:00:00-07:00,-2.8137
2016-08-10 01:15:00-07:00,-2.6561
2016-08-10 01:30:00-07:00,-3.0388
2016-08-10 01:45:00-07:00,-3.2416
2016-08-10 02:00:00-07:00,-3.0842
2016-08-10 02:15:00-07:00,-2.8366
2016-08-10 02:30:00-07:00,-2.8141
2016-08-10 02:45:00-07:00,-2.7241
2016-08-10 03:00:00-07:00,-2.9492
2016-08-10 03:15:00-07:00,-2.7016
2016-08-10 03:30:00-07:00,-2.5666
2016-08-10 03:45:00-07:00,-3.1295
2016-08-10 04:00:00-07:00,-2.5667
2016-08-10 04:15:00-07:00,-2.4092
2016-08-10 04:30:00-07:00,-2.7245
2016-08-10 04:45:00-07:00,-2.9272
2016-08-10 05:00:00-07:00,-3.8728
2016-08-10 05:15:00-07:00,-5.6742
2016-08-10 05:30:00-07:00,35.779
2016-08-10 05:45:00-07:00,148.99
2016-08-10 06:00:00-07:00,381.18
2016-08-10 06:15:00-07:00,711.16
2016-08-10 06:30:00-07:00,1097.8
2016-08-10 06:45:00-07:00,1514.8
2016-08-10 07:00:00-07:00,1866.9
2016-08-10 07:15:00-07:00,2163.1
2016-08-10 07:30:00-07:00,2558.0
2016-08-10 07:45:00-07:00,2689.2
2016-08-10 08:00:00-07:00,2920.7
2016-08-10 08:15:00-07:00,3143.1
2016-08-10 08:30:00-07:00,3186.9
2016-08-10 08:45:00-07:00,3513.5
2016-08-10 09:00:00-07:00,3543.2
2016-08-10 09:15:00-07:00,3867.9
2016-08-10 09:30:00-07:00,3852.4
2016-08-10 09:45:00-07:00,3989.6
2016-08-10 10:00:00-07:00,4244.2
2016-08-10 10:15:00-07:00,1517.2
2016-08-10 10:30:00-07:00,1713.0
2016-08-10 10:45:00-07:00,1951.5
2016-08-10 11:00:00-07:00,2226.2
2016-08-10 11:15:00-07:00,2328.2
2016-08-10 11:30:00-07:00,3455.4
2016-08-10 11:45:00-07:00,1794.1
2016-08-10 12:00:00-07:00,1567.9
2016-08-10 12:15:00-07:00,963.81
2016-08-10 12:30:00-07:00,1794.7
2016-08-10 12:45:00-07:00,1762.9
2016-08-10 13:00:00-07:00,3796.7
2016-08-10 13:15:00-07:00,4370.3
2016-08-10 13:30:00-07:00,4197.4
2016-08-10 13:45:00-07:00,3960.7
2016-08-10 14:00:00-07:00,4135.2
