datetime,Temperature,DHI,DNI,GHI,Wind Speed
2016-01-01 00:00:00+00:00,-9.8,0,0,0,0.9
2016-01-01 00:30:00+00:00,-10.2,0,0,0,0.9
2016-01-01 01:00:00+00:00,-10.5,0,0,0,0.8
2016-01-01 01:30:00+00:00,-10.8,0,0,0,0.8
2016-01-01 02:00:00+00:00,-11.1,0,0,0,0.8
2016-01-01 02:30:00+00:00,-11.5,0,0,0,0.8
2016-01-01 03:00:00+00:00,-12,0,0,0,0.9
2016-01-01 03:30:00+00:00,-12.2,0,0,0,1
2016-01-01 04:00:00+00:00,-12.5,0,0,0,1
2016-01-01 04:30:00+00:00,-12.7,0,0,0,1.1
2016-01-01 05:00:00+00:00,-12.9,0,0,0,1.1
2016-01-01 05:30:00+00:00,-13.2,0,0,0,1.1
2016-01-01 06:00:00+00:00,-13.4,0,0,0,1.2
2016-01-01 06:30:00+00:00,-13.6,0,0,0,1.2
2016-01-01 07:00:00+00:00,-13.9,0,0,0,1.2
2016-01-01 07:30:00+00:00,-14.1,0,0,0,1.2
2016-01-01 08:00:00+00:00,-14.4,0,0,0,1.3
2016-01-01 08:30:00+00:00,-14.6,0,0,0,1.3
2016-01-01 09:00:00+00:00,-14.8,0,0,0,1.4
2016-01-01 09:30:00+00:00,-14.8,0,0,0,1.5
2016-01-01 10:00:00+00:00,-14.9,0,0,0,1.6
2016-01-01 10:30:00+00:00,-15,0,0,0,1.6
2016-01-01 11:00:00+00:00,-15,0,0,0,1.7
2016-01-01 11:30:00+00:00,-15,0,0,0,1.7
2016-01-01 12:00:00+00:00,-15,0,0,0,1.6
2016-01-01 12:30:00+00:00,-14.9,0,0,0,1.6
2016-01-01 13:00:00+00:00,-14.8,0,0,0,1.6
2016-01-01 13:30:00+00:00,-14.6,0,0,0,1.6
2016-01-01 14:00:00+00:00,-14.4,0,0,0,1.6
2016-01-01 14:30:00+00:00,-12.8,0,0,0,1.6
2016-01-01 15:00:00+00:00,-11.2,30,316,60,1.6
2016-01-01 15:30:00+00:00,-9.1,46,477,128,2
2016-01-01 16:00:00+00:00,-7.1,55,612,203,2.4
2016-01-01 16:30:00+00:00,-5.5,45,843,301,2.1
2016-01-01 17:00:00+00:00,-3.8,50,880,364,1.9
2016-01-01 17:30:00+00:00,-2.6,54,893,411,1.7
2016-01-01 18:00:00+00:00,-1.5,58,904,448,1.5
2016-01-01 18:30:00+00:00,-0.9,61,918,474,1.4
2016-01-01 19:00:00+00:00,-0.3,88,782,447,1.4
2016-01-01 19:30:00+00:00,0,73,842,455,1.5
2016-01-01 20:00:00+00:00,0.3,80,789,426,1.5
2016-01-01 20:30:00+00:00,0.3,79,759,390,1.6
2016-01-01 21:00:00+00:00,0.2,73,730,344,1.6
2016-01-01 21:30:00+00:00,-0.5,48,867,326,1.3
2016-01-01 22:00:00+00:00,-1.2,41,790,247,1
2016-01-01 22:30:00+00:00,-2.8,44,585,157,1
2016-01-01 23:00:00+00:00,-4.4,25,720,110,1
2016-01-01 23:30:00+00:00,-4.4,14,479,32,1
2016-01-02 00:00:00+00:00,-6.4,0,0,0,1.1
2016-01-02 00:30:00+00:00,-7.3,0,0,0,1.2
2016-01-02 01:00:00+00:00,-8.3,0,0,0,1.4
2016-01-02 01:30:00+00:00,-9.1,0,0,0,1.5
2016-01-02 02:00:00+00:00,-9.9,0,0,0,1.7
2016-01-02 02:30:00+00:00,-10.1,0,0,0,1.8
2016-01-02 03:00:00+00:00,-10.3,0,0,0,1.9
2016-01-02 03:30:00+00:00,-10.2,0,0,0,1.9
2016-01-02 04:00:00+00:00,-10.2,0,0,0,1.9
2016-01-02 04:30:00+00:00,-10.1,0,0,0,1.8
2016-01-02 05:00:00+00:00,-10,0,0,0,1.8
2016-01-02 05:30:00+00:00,-9.8,0,0,0,1.8
2016-01-02 06:00:00+00:00,-9.5,0,0,0,1.7
2016-01-02 06:30:00+00:00,-9.2,0,0,0,1.7
2016-01-02 07:00:00+00:00,-8.9,0,0,0,1.7
2016-01-02 07:30:00+00:00,-8.5,0,0,0,1.7
2016-01-02 08:00:00+00:00,-8.2,0,0,0,1.7
