,Elevation
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,0.0
111,0.0
112,0.0
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.2216517857142784
125,0.6654017857142642
126,1.3517857142856708
127,1.999776785714222
128,2.695982142857057
129,3.4080357142856066
130,4.119196428571299
131,4.870535714285562
132,5.76205357142839
133,6.491517857142654
134,7.241071428571201
135,8.04955357142832
136,8.712499999999725
137,9.409821428571131
138,10.06138392857111
139,10.62053571428538
140,11.258482142856787
141,11.912946428571052
142,12.506026785713892
143,12.925669642856734
144,13.528571428571004
145,14.179017857142412
146,14.692633928570968
147,15.169419642856669
148,15.751562499999505
149,16.28124999999948
150,16.701785714285187
151,17.132142857142323
152,17.57455357142802
153,17.956696428570865
154,18.383035714285132
155,18.673660714285123
156,19.01741071428512
157,19.360937499999395
158,19.66874999999938
159,19.972991071427945
160,20.264732142856506
161,20.40959821428507
162,20.515401785713642
163,20.774330357142208
164,20.978571428570774
165,21.038169642856484
166,21.18102678571362
167,21.34263392857076
168,21.442857142856475
169,21.552901785713615
170,21.68616071428503
171,21.72254464285646
172,21.616517857142178
173,21.774999999999316
174,21.751339285713605
175,21.794196428570746
176,21.859151785713603
177,21.91964285714217
178,21.99999999999931
179,22.024553571427877
180,22.052232142856447
181,22.100892857142163
182,22.11383928571359
183,22.034374999999304
184,21.88035714285645
185,21.828571428570744
186,21.80558035714217
187,21.696874999999313
188,21.58035714285646
189,21.525892857142185
190,21.403348214285042
191,21.33504464285647
192,21.2854910714279
193,21.085714285713625
194,20.614732142856496
195,20.453794642856497
196,20.373883928570784
197,20.02165178571365
198,19.745982142856526
199,19.62008928571367
200,19.376116071427962
201,19.022991071427974
202,18.829687499999412
203,18.648437499999414
204,18.349330357142282
205,18.070089285713713
206,17.78950892857087
207,17.436607142856595
208,17.006919642856605
209,16.326116071428057
210,15.947544642856636
211,15.572098214285223
212,14.842187499999534
213,14.513392857142398
214,14.077901785713841
215,13.640401785713856
216,13.052008928571022
217,12.791517857142452
218,12.510044642856752
219,12.017633928571051
220,11.565401785713922
221,11.286607142856784
222,10.913392857142515
223,10.259374999999675
224,10.242633928571106
225,10.133035714285393
226,9.861607142856831
227,10.078348214285397
228,10.25424107142825
229,10.220312499999679
230,10.434151785713956
231,10.625669642856808
232,10.617187499999668
233,10.555357142856813
234,10.560267857142527
235,10.390848214285382
236,10.231473214285394
237,10.308705357142536
238,10.24799107142825
239,10.489508928571096
240,10.29218749999968
241,10.236830357142532
242,10.174776785713966
243,9.797321428571118
244,9.529910714285416
245,9.150669642856853
246,8.96428571428543
247,8.39196428571402
248,8.224776785714026
249,8.33258928571402
250,8.478794642856872
251,8.635491071428298
252,8.958035714285433
253,9.78883928571398
254,10.476785714285386
255,11.309374999999644
256,13.099330357142449
257,14.25602678571384
258,14.416741071428122
259,15.634821428570941
260,16.308258928570915
261,16.673660714285194
262,16.832366071428044
263,16.64241071428519
264,16.55714285714234
265,16.31205357142806
266,15.795089285713791
267,14.858482142856676
268,13.458035714285291
269,12.427008928571036
270,11.3462053571425
271,9.681249999999693
272,8.220089285714028
273,6.747321428571215
274,5.218526785714121
275,3.817410714285592
276,2.4276785714284936
277,1.6651785714285183
278,0.851116071428544
279,0.07767857142856865
280,0.0
281,0.0
282,0.0
283,0.0
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0
293,0.0
294,0.0
295,0.0
296,0.0
297,0.0
298,0.0
299,0.0
300,0.0
301,0.0
302,0.0
303,0.0
304,0.0
305,0.0
306,0.0
307,0.0
308,0.0
309,0.0
310,0.0
311,0.0
312,0.0
313,0.0
314,0.0
315,0.0
316,0.0
317,0.0
318,0.0
319,0.0
320,0.0
321,0.0
322,0.0
323,0.0
324,0.0
325,0.0
326,0.0
327,0.0
328,0.0
329,0.0
330,0.0
331,0.0
332,0.0
333,0.0
334,0.0
335,0.0
336,0.0
337,0.0
338,0.0
339,0.0
340,0.0
341,0.0
342,0.0
343,0.0
344,0.0
345,0.0
346,0.0
347,0.0
348,0.0
349,0.0
350,0.0
351,0.0
352,0.0
353,0.0
354,0.0
355,0.0
356,0.0
357,0.0
358,0.0
359,0.0
