utc_measured_on,ac_energy_inv_16425,local_measured_on
2011-06-23 10:00:00,6.0,2011-06-23 06:00:00
2011-06-23 10:10:00,17.0,2011-06-23 06:10:00
2011-06-23 10:20:00,40.0,2011-06-23 06:20:00
2011-06-23 10:30:00,91.0,2011-06-23 06:30:00
2011-06-23 10:40:00,143.0,2011-06-23 06:40:00
2011-06-23 10:50:00,209.0,2011-06-23 06:50:00
2011-06-23 11:00:00,282.0,2011-06-23 07:00:00
2011-06-23 11:10:00,395.0,2011-06-23 07:10:00
2011-06-23 11:20:00,513.0,2011-06-23 07:20:00
2011-06-23 11:30:00,611.0,2011-06-23 07:30:00
2011-06-23 11:40:00,708.0,2011-06-23 07:40:00
2011-06-23 11:50:00,794.0,2011-06-23 07:50:00
2011-06-23 12:00:00,859.0,2011-06-23 08:00:00
2011-06-23 12:10:00,932.0,2011-06-23 08:10:00
2011-06-23 12:20:00,1018.0,2011-06-23 08:20:00
2011-06-23 12:30:00,1133.0,2011-06-23 08:30:00
2011-06-23 12:40:00,1258.0,2011-06-23 08:40:00
2011-06-23 12:50:00,1416.0,2011-06-23 08:50:00
2011-06-23 13:00:00,1565.0,2011-06-23 09:00:00
2011-06-23 13:10:00,1764.0,2011-06-23 09:10:00
2011-06-23 13:20:00,2020.0,2011-06-23 09:20:00
2011-06-23 13:30:00,2334.0,2011-06-23 09:30:00
2011-06-23 13:40:00,2647.0,2011-06-23 09:40:00
2011-06-23 13:50:00,2901.0,2011-06-23 09:50:00
2011-06-23 14:00:00,3137.0,2011-06-23 10:00:00
2011-06-23 14:10:00,3402.0,2011-06-23 10:10:00
2011-06-23 14:20:00,3666.0,2011-06-23 10:20:00
2011-06-23 14:30:00,3912.0,2011-06-23 10:30:00
2011-06-23 14:40:00,4236.0,2011-06-23 10:40:00
2011-06-23 14:50:00,4551.0,2011-06-23 10:50:00
2011-06-23 15:00:00,5049.0,2011-06-23 11:00:00
2011-06-23 15:10:00,5465.0,2011-06-23 11:10:00
2011-06-23 15:20:00,5802.0,2011-06-23 11:20:00
2011-06-23 15:30:00,6141.0,2011-06-23 11:30:00
2011-06-23 15:40:00,6549.0,2011-06-23 11:40:00
2011-06-23 15:50:00,7046.0,2011-06-23 11:50:00
2011-06-23 16:00:00,7687.0,2011-06-23 12:00:00
2011-06-23 16:10:00,8363.0,2011-06-23 12:10:00
2011-06-23 16:20:00,8940.0,2011-06-23 12:20:00
2011-06-23 16:30:00,9604.0,2011-06-23 12:30:00
2011-06-23 16:40:00,10302.0,2011-06-23 12:40:00
2011-06-23 16:50:00,10901.0,2011-06-23 12:50:00
2011-06-23 17:00:00,11442.0,2011-06-23 13:00:00
2011-06-23 17:10:00,12060.0,2011-06-23 13:10:00
2011-06-23 17:20:00,12798.0,2011-06-23 13:20:00
2011-06-23 17:30:00,13780.0,2011-06-23 13:30:00
2011-06-23 17:40:00,14717.0,2011-06-23 13:40:00
