,Year,Month,Day,Hour,Minute,temp_air,ghi,ghi_clear,dni_clear,dhi_clear
2011-01-01 00:00:00-07:00,2011,1,1,0,0,-15.9,0.0,0.0,0.0,0.0
2011-01-01 00:30:00-07:00,2011,1,1,0,30,-16.0,0.0,0.0,0.0,0.0
2011-01-01 01:00:00-07:00,2011,1,1,1,0,-16.0,0.0,0.0,0.0,0.0
2011-01-01 01:30:00-07:00,2011,1,1,1,30,-16.0,0.0,0.0,0.0,0.0
2011-01-01 02:00:00-07:00,2011,1,1,2,0,-16.0,0.0,0.0,0.0,0.0
2011-01-01 02:30:00-07:00,2011,1,1,2,30,-15.9,0.0,0.0,0.0,0.0
2011-01-01 03:00:00-07:00,2011,1,1,3,0,-15.8,0.0,0.0,0.0,0.0
2011-01-01 03:30:00-07:00,2011,1,1,3,30,-15.8,0.0,0.0,0.0,0.0
2011-01-01 04:00:00-07:00,2011,1,1,4,0,-15.8,0.0,0.0,0.0,0.0
2011-01-01 04:30:00-07:00,2011,1,1,4,30,-15.7,0.0,0.0,0.0,0.0
2011-01-01 05:00:00-07:00,2011,1,1,5,0,-15.7,0.0,0.0,0.0,0.0
2011-01-01 05:30:00-07:00,2011,1,1,5,30,-15.7,0.0,0.0,0.0,0.0
2011-01-01 06:00:00-07:00,2011,1,1,6,0,-15.6,0.0,0.0,0.0,0.0
2011-01-01 06:30:00-07:00,2011,1,1,6,30,-15.5,0.0,0.0,0.0,0.0
2011-01-01 07:00:00-07:00,2011,1,1,7,0,-15.5,0.0,0.0,0.0,0.0
2011-01-01 07:30:00-07:00,2011,1,1,7,30,-14.6,0.0,0.0,0.0,0.0
2011-01-01 08:00:00-07:00,2011,1,1,8,0,-13.7,20.0,83.0,598.0,26.0
2011-01-01 08:30:00-07:00,2011,1,1,8,30,-12.6,7.0,168.0,757.0,37.0
2011-01-01 09:00:00-07:00,2011,1,1,9,0,-11.6,31.0,252.0,850.0,46.0
2011-01-01 09:30:00-07:00,2011,1,1,9,30,-10.7,73.0,330.0,910.0,52.0
2011-01-01 10:00:00-07:00,2011,1,1,10,0,-9.8,234.0,397.0,950.0,57.0
2011-01-01 10:30:00-07:00,2011,1,1,10,30,-9.3,286.0,452.0,977.0,61.0
2011-01-01 11:00:00-07:00,2011,1,1,11,0,-8.700000000000001,82.0,493.0,993.0,65.0
2011-01-01 11:30:00-07:00,2011,1,1,11,30,-8.6,440.0,519.0,1003.0,67.0
2011-01-01 12:00:00-07:00,2011,1,1,12,0,-8.4,404.0,529.0,1007.0,67.0
2011-01-01 12:30:00-07:00,2011,1,1,12,30,-8.4,386.0,524.0,1005.0,67.0
2011-01-01 13:00:00-07:00,2011,1,1,13,0,-8.5,141.0,502.0,997.0,65.0
2011-01-01 13:30:00-07:00,2011,1,1,13,30,-8.700000000000001,131.0,465.0,981.0,63.0
2011-01-01 14:00:00-07:00,2011,1,1,14,0,-8.8,192.0,415.0,963.0,58.0
2011-01-01 14:30:00-07:00,2011,1,1,14,30,-9.1,234.0,351.0,927.0,53.0
2011-01-01 15:00:00-07:00,2011,1,1,15,0,-9.4,209.0,276.0,875.0,47.0
2011-01-01 15:30:00-07:00,2011,1,1,15,30,-10.1,161.0,193.0,794.0,39.0
2011-01-01 16:00:00-07:00,2011,1,1,16,0,-10.7,66.0,107.0,664.0,29.0
2011-01-01 16:30:00-07:00,2011,1,1,16,30,-10.7,18.0,31.0,416.0,15.0
2011-01-01 17:00:00-07:00,2011,1,1,17,0,-11.9,0.0,0.0,0.0,0.0
2011-01-01 17:30:00-07:00,2011,1,1,17,30,-12.1,0.0,0.0,0.0,0.0
2011-01-01 18:00:00-07:00,2011,1,1,18,0,-12.4,0.0,0.0,0.0,0.0
2011-01-01 18:30:00-07:00,2011,1,1,18,30,-12.6,0.0,0.0,0.0,0.0
2011-01-01 19:00:00-07:00,2011,1,1,19,0,-12.8,0.0,0.0,0.0,0.0
2011-01-01 19:30:00-07:00,2011,1,1,19,30,-12.9,0.0,0.0,0.0,0.0
2011-01-01 20:00:00-07:00,2011,1,1,20,0,-13.0,0.0,0.0,0.0,0.0
2011-01-01 20:30:00-07:00,2011,1,1,20,30,-13.0,0.0,0.0,0.0,0.0
2011-01-01 21:00:00-07:00,2011,1,1,21,0,-13.1,0.0,0.0,0.0,0.0
2011-01-01 21:30:00-07:00,2011,1,1,21,30,-13.1,0.0,0.0,0.0,0.0
2011-01-01 22:00:00-07:00,2011,1,1,22,0,-13.0,0.0,0.0,0.0,0.0
2011-01-01 22:30:00-07:00,2011,1,1,22,30,-12.9,0.0,0.0,0.0,0.0
2011-01-01 23:00:00-07:00,2011,1,1,23,0,-12.7,0.0,0.0,0.0,0.0
2011-01-01 23:30:00-07:00,2011,1,1,23,30,-12.4,0.0,0.0,0.0,0.0
2011-01-02 00:00:00-07:00,2011,1,2,0,0,-12.2,0.0,0.0,0.0,0.0
2011-01-02 00:30:00-07:00,2011,1,2,0,30,-11.9,0.0,0.0,0.0,0.0
2011-01-02 01:00:00-07:00,2011,1,2,1,0,-11.6,0.0,0.0,0.0,0.0
2011-01-02 01:30:00-07:00,2011,1,2,1,30,-11.4,0.0,0.0,0.0,0.0
2011-01-02 02:00:00-07:00,2011,1,2,2,0,-11.1,0.0,0.0,0.0,0.0
2011-01-02 02:30:00-07:00,2011,1,2,2,30,-10.9,0.0,0.0,0.0,0.0
2011-01-02 03:00:00-07:00,2011,1,2,3,0,-10.7,0.0,0.0,0.0,0.0
2011-01-02 03:30:00-07:00,2011,1,2,3,30,-10.3,0.0,0.0,0.0,0.0
2011-01-02 04:00:00-07:00,2011,1,2,4,0,-10.0,0.0,0.0,0.0,0.0
2011-01-02 04:30:00-07:00,2011,1,2,4,30,-9.8,0.0,0.0,0.0,0.0
2011-01-02 05:00:00-07:00,2011,1,2,5,0,-9.5,0.0,0.0,0.0,0.0
2011-01-02 05:30:00-07:00,2011,1,2,5,30,-9.3,0.0,0.0,0.0,0.0
2011-01-02 06:00:00-07:00,2011,1,2,6,0,-9.1,0.0,0.0,0.0,0.0
2011-01-02 06:30:00-07:00,2011,1,2,6,30,-8.8,0.0,0.0,0.0,0.0
2011-01-02 07:00:00-07:00,2011,1,2,7,0,-8.6,0.0,0.0,0.0,0.0
2011-01-02 07:30:00-07:00,2011,1,2,7,30,-7.9,0.0,0.0,0.0,0.0
2011-01-02 08:00:00-07:00,2011,1,2,8,0,-7.1000000000000005,23.0,84.0,626.0,24.0
2011-01-02 08:30:00-07:00,2011,1,2,8,30,-5.800000000000001,86.0,169.0,781.0,34.0
2011-01-02 09:00:00-07:00,2011,1,2,9,0,-4.5,133.0,253.0,873.0,41.0
2011-01-02 09:30:00-07:00,2011,1,2,9,30,-3.1,176.0,330.0,930.0,47.0
2011-01-02 10:00:00-07:00,2011,1,2,10,0,-1.7000000000000002,237.0,398.0,967.0,52.0
2011-01-02 10:30:00-07:00,2011,1,2,10,30,-0.7000000000000001,257.0,453.0,993.0,55.0
2011-01-02 11:00:00-07:00,2011,1,2,11,0,0.3,254.0,494.0,1010.0,58.0
2011-01-02 11:30:00-07:00,2011,1,2,11,30,0.8,400.0,520.0,1020.0,59.0
2011-01-02 12:00:00-07:00,2011,1,2,12,0,1.4,379.0,530.0,1025.0,59.0
2011-01-02 12:30:00-07:00,2011,1,2,12,30,1.6,525.0,525.0,1023.0,58.0
2011-01-02 13:00:00-07:00,2011,1,2,13,0,1.7000000000000002,504.0,504.0,1016.0,57.0
2011-01-02 13:30:00-07:00,2011,1,2,13,30,1.5,460.0,460.0,985.0,55.0
2011-01-02 14:00:00-07:00,2011,1,2,14,0,1.3,410.0,410.0,965.0,50.0
2011-01-02 14:30:00-07:00,2011,1,2,14,30,0.5,347.0,347.0,931.0,46.0
2011-01-02 15:00:00-07:00,2011,1,2,15,0,-0.3,274.0,274.0,876.0,43.0
2011-01-02 15:30:00-07:00,2011,1,2,15,30,-1.8,193.0,193.0,797.0,37.0
2011-01-02 16:00:00-07:00,2011,1,2,16,0,-3.3000000000000003,80.0,108.0,659.0,29.0
2011-01-02 16:30:00-07:00,2011,1,2,16,30,-3.3000000000000003,21.0,32.0,418.0,15.0
2011-01-02 17:00:00-07:00,2011,1,2,17,0,-4.6000000000000005,0.0,0.0,0.0,0.0
2011-01-02 17:30:00-07:00,2011,1,2,17,30,-4.800000000000001,0.0,0.0,0.0,0.0
2011-01-02 18:00:00-07:00,2011,1,2,18,0,-5.0,0.0,0.0,0.0,0.0
2011-01-02 18:30:00-07:00,2011,1,2,18,30,-5.300000000000001,0.0,0.0,0.0,0.0
2011-01-02 19:00:00-07:00,2011,1,2,19,0,-5.6000000000000005,0.0,0.0,0.0,0.0
2011-01-02 19:30:00-07:00,2011,1,2,19,30,-5.800000000000001,0.0,0.0,0.0,0.0
2011-01-02 20:00:00-07:00,2011,1,2,20,0,-6.1000000000000005,0.0,0.0,0.0,0.0
2011-01-02 20:30:00-07:00,2011,1,2,20,30,-6.2,0.0,0.0,0.0,0.0
2011-01-02 21:00:00-07:00,2011,1,2,21,0,-6.4,0.0,0.0,0.0,0.0
2011-01-02 21:30:00-07:00,2011,1,2,21,30,-6.5,0.0,0.0,0.0,0.0
2011-01-02 22:00:00-07:00,2011,1,2,22,0,-6.7,0.0,0.0,0.0,0.0
2011-01-02 22:30:00-07:00,2011,1,2,22,30,-6.800000000000001,0.0,0.0,0.0,0.0
2011-01-02 23:00:00-07:00,2011,1,2,23,0,-6.9,0.0,0.0,0.0,0.0
2011-01-02 23:30:00-07:00,2011,1,2,23,30,-7.0,0.0,0.0,0.0,0.0
2011-01-03 00:00:00-07:00,2011,1,3,0,0,-7.0,0.0,0.0,0.0,0.0
2011-01-03 00:30:00-07:00,2011,1,3,0,30,-7.0,0.0,0.0,0.0,0.0
2011-01-03 01:00:00-07:00,2011,1,3,1,0,-7.0,0.0,0.0,0.0,0.0
2011-01-03 01:30:00-07:00,2011,1,3,1,30,-6.9,0.0,0.0,0.0,0.0
2011-01-03 02:00:00-07:00,2011,1,3,2,0,-6.9,0.0,0.0,0.0,0.0
2011-01-03 02:30:00-07:00,2011,1,3,2,30,-7.0,0.0,0.0,0.0,0.0
2011-01-03 03:00:00-07:00,2011,1,3,3,0,-7.1000000000000005,0.0,0.0,0.0,0.0
2011-01-03 03:30:00-07:00,2011,1,3,3,30,-7.2,0.0,0.0,0.0,0.0
2011-01-03 04:00:00-07:00,2011,1,3,4,0,-7.300000000000001,0.0,0.0,0.0,0.0
2011-01-03 04:30:00-07:00,2011,1,3,4,30,-7.4,0.0,0.0,0.0,0.0
2011-01-03 05:00:00-07:00,2011,1,3,5,0,-7.4,0.0,0.0,0.0,0.0
2011-01-03 05:30:00-07:00,2011,1,3,5,30,-7.7,0.0,0.0,0.0,0.0
2011-01-03 06:00:00-07:00,2011,1,3,6,0,-8.0,0.0,0.0,0.0,0.0
2011-01-03 06:30:00-07:00,2011,1,3,6,30,-8.1,0.0,0.0,0.0,0.0
2011-01-03 07:00:00-07:00,2011,1,3,7,0,-8.200000000000001,0.0,0.0,0.0,0.0
2011-01-03 07:30:00-07:00,2011,1,3,7,30,-7.0,0.0,0.0,0.0,0.0
2011-01-03 08:00:00-07:00,2011,1,3,8,0,-5.800000000000001,82.0,82.0,611.0,24.0
2011-01-03 08:30:00-07:00,2011,1,3,8,30,-4.5,166.0,166.0,766.0,34.0
